national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop,went_on_backorder
2,16.0,0,0,0,0,0,0,0,0,1,0,0,-99.0,-99.0,0,1,0,0,1,0,0
51,16.0,0,0,0,0,0,0,0,0,1,0,0,-99.0,-99.0,0,0,0,0,0,0,0
5,8.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.09,0,0,0,0,1,0,0
2,16.0,0,0,0,0,0,0,0,0,1,0,0,-99.0,-99.0,0,0,0,0,1,0,0
3,16.0,0,0,0,0,0,0,0,0,1,0,0,-99.0,-99.0,0,1,0,0,1,0,0
0,16.0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,0,1,0,0,1,0,0
17303,8.0,0,0,0,0,0,102,177,304,29,0,0,-99.0,-99.0,0,0,0,0,1,0,0
763,8.0,0,0,0,0,31,133,354,598,58,0,0,1.0,1.0,0,0,0,0,1,0,0
62,8.0,0,0,0,0,0,2,7,7,0,0,0,1.0,1.0,0,1,0,0,1,0,0
40,16.0,0,0,0,0,0,2,6,11,4,0,0,-99.0,-99.0,0,1,0,0,1,0,0
59,12.0,1,181,304,345,9,75,232,327,149,0,0,0.98,0.95,0,0,0,0,1,0,0
226,16.0,0,0,0,0,0,1,3,4,3,0,0,-99.0,-99.0,0,1,0,0,0,0,0
256,8.0,0,0,0,0,0,1,1,17,2,0,0,1.0,1.0,0,1,0,1,0,0,0
362,8.0,0,0,0,0,4,20,40,72,1,0,0,0.89,0.89,0,0,0,0,1,0,0
55,16.0,0,0,0,0,0,0,1,1,0,0,0,-99.0,-99.0,0,1,0,0,0,0,0
18,16.0,0,0,0,0,0,0,0,0,2,0,0,-99.0,-99.0,0,1,0,1,0,0,0
4044,12.0,39,0,0,0,47,141,270,573,110,0,0,0.93,0.88,0,0,0,0,1,0,0
835,8.0,0,0,0,0,6,6,6,41,5,0,0,-99.0,-99.0,0,0,0,0,1,0,0
294,8.0,0,0,0,0,13,33,44,75,3,0,0,-99.0,0.0,0,0,0,1,1,0,0
1911,4.0,0,0,0,0,1,5,7,17,0,0,0,0.79,0.66,0,0,0,0,1,0,0
114,8.0,0,0,0,0,13,17,37,70,0,0,0,0.79,0.66,0,0,0,0,1,0,0
246,8.0,0,0,70,132,0,0,0,0,0,0,0,0.92,0.97,0,0,0,0,1,0,0
6,8.0,0,0,0,2,0,1,4,9,0,0,0,0.81,0.8,0,0,0,0,1,0,0
302,8.0,0,0,0,0,24,70,117,181,32,0,0,0.78,0.73,0,0,0,0,1,0,0
12,8.0,0,0,0,0,0,0,0,2,0,0,0,0.6,0.54,0,0,0,0,1,0,0
28,8.0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.64,0,0,0,0,1,0,0
414,16.0,0,0,0,0,6,24,50,76,18,0,0,-99.0,-99.0,0,1,0,0,1,0,0
6,8.0,3,22,47,67,7,22,36,50,0,0,0,0.6,0.54,0,0,0,0,1,0,0
29,8.0,0,0,0,0,0,1,2,3,0,0,0,0.93,0.86,0,0,0,0,1,0,0
353,52.0,4,0,0,0,11,34,68,102,21,0,0,0.83,0.89,0,1,0,1,1,0,0
360,8.0,0,900,1440,1980,251,521,960,1363,159,0,0,1.0,1.0,0,0,0,0,1,0,0
0,15.0,0,0,0,0,0,0,0,0,0,0,0,0.84,0.93,0,0,0,0,1,0,0
231,16.0,0,0,0,0,0,5,10,21,2,0,0,-99.0,-99.0,0,1,0,1,1,0,0
4900,8.0,0,0,0,0,40,86,140,205,42,0,0,0.99,0.99,0,0,0,0,1,0,0
5,16.0,0,0,0,0,0,0,0,0,2,0,0,-99.0,-99.0,0,1,0,0,1,0,0
500,8.0,0,5000,5000,5000,159,740,1279,1998,422,0,0,0.91,0.8,0,0,0,0,1,0,0
113,16.0,0,0,0,0,4,18,37,52,3,0,0,-99.0,-99.0,0,1,0,0,1,0,0
6,16.0,0,0,0,0,4,53,107,153,1,0,0,-99.0,-99.0,0,1,0,0,1,0,0
1004,9.0,0,2520,3150,5040,12,911,1652,2596,28,0,0,0.7,0.88,0,0,0,0,1,0,0
664,16.0,0,0,0,0,2,5,14,20,1,0,0,-99.0,-99.0,0,1,0,0,1,0,0
11,16.0,0,0,0,0,0,1,4,4,1,0,0,-99.0,-99.0,0,1,0,0,1,0,0
39,8.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,1,0,0
19,8.0,0,0,0,0,1,2,6,8,1,0,0,0.98,0.97,0,0,0,0,1,0,0
278,8.0,0,0,0,0,7,37,85,129,23,0,0,0.96,0.83,0,0,0,0,1,0,0
85,12.0,0,0,0,0,7,15,25,46,8,0,0,0.93,0.88,0,0,0,0,1,0,0
0,17.0,2,1,4,7,2,4,8,9,0,0,0,0.79,0.83,0,0,0,0,1,0,0
15,12.0,0,2,18,34,1,3,7,12,0,0,0,0.82,0.79,0,0,0,0,1,0,0
4,8.0,0,0,0,0,0,0,0,1,0,0,0,0.48,0.53,0,0,0,0,1,0,0
6,12.0,0,0,0,0,2,3,11,13,0,0,0,0.87,0.68,0,0,0,0,1,0,0
945,8.0,0,0,0,0,0,0,0,0,0,0,0,0.97,0.96,0,0,0,0,1,0,0
18,12.0,0,10,20,40,2,9,21,34,1,0,0,0.47,0.39,0,0,0,0,1,0,0
46,16.0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,0,1,0,0,0,0,0
1,8.0,1,1,1,1,0,1,1,1,0,0,0,0.98,0.95,0,0,0,0,1,0,0
139,8.0,0,0,0,39,10,40,92,169,21,0,0,0.85,0.87,0,0,0,0,1,0,0
117,8.0,80,0,150,225,20,49,118,186,36,0,0,0.83,0.89,0,0,0,0,1,0,0
0,8.0,0,2,3,5,0,3,3,3,2,0,0,0.68,0.58,0,0,0,1,1,0,1
36,8.0,3,0,0,0,4,9,22,32,1,0,0,1.0,0.99,0,0,0,0,1,0,0
305,8.0,0,0,0,0,2,6,12,41,2,0,0,0.85,0.82,0,0,0,0,1,0,0
519,16.0,0,0,0,0,1,5,13,15,1,0,0,-99.0,-99.0,0,1,0,0,1,0,0
814,8.0,0,0,0,0,0,0,0,16,6,0,0,0.98,0.91,0,1,0,0,1,0,0
8,12.0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.81,0,0,0,0,1,0,0
0,8.0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.98,0,0,0,0,1,0,0
12776,8.0,0,15000,30000,40000,4568,12494,24591,42341,3862,0,0,0.99,0.99,0,0,0,0,1,0,0
115,13.0,0,175,175,175,0,12,52,109,9,0,0,1.0,0.93,0,0,0,0,1,0,0
48,9.0,0,0,0,0,0,10,11,16,0,0,0,0.91,0.74,0,0,0,1,1,0,0
16,4.0,0,0,0,0,0,0,1,3,0,0,0,0.77,0.8,0,0,0,0,1,0,0
109,16.0,0,0,0,0,1,3,5,5,0,0,0,-99.0,-99.0,0,1,0,0,1,0,0
2690,8.0,0,0,0,0,0,1,1,3,1,0,0,1.0,1.0,0,0,0,1,1,0,0
11,16.0,0,0,0,0,9,12,17,21,1,0,0,-99.0,-99.0,0,0,0,0,1,0,0
594,2.0,0,400,800,1200,139,437,834,11172,200,0,0,0.62,0.56,0,0,0,0,1,0,0
2403,2.0,0,0,0,0,2,7,32,39,0,0,0,1.0,0.99,0,0,0,0,1,0,0
9,12.0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.72,0,1,0,0,1,0,0
1220,8.0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.99,0,0,0,0,1,0,0
12,0.0,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,0,0,0,0,1,0,0
36,12.0,0,0,0,0,2,2,2,14,6,0,0,0.82,0.79,0,1,0,0,1,0,0
289,6.0,0,0,50,175,47,92,379,459,111,0,0,0.82,0.79,0,0,0,1,1,0,0
59,8.0,3,0,0,0,4,10,31,51,8,0,0,0.88,0.92,0,0,0,0,1,0,0
4570,16.0,0,0,0,0,20,20,460,476,9,0,0,-99.0,-99.0,0,1,0,0,1,0,0
9,16.0,0,0,0,0,0,0,0,1,0,0,0,-99.0,-99.0,0,1,0,0,1,0,0
10,8.0,0,12,34,78,0,0,0,0,0,0,0,0.96,0.94,0,0,0,0,1,0,0
0,8.0,0,0,100,100,0,0,0,0,0,0,0,0.55,0.66,0,0,0,0,1,0,0
13,8.0,0,0,0,0,0,0,0,2,1,0,0,0.81,0.83,0,0,0,1,1,0,0
10,8.0,0,0,0,0,0,0,0,0,0,0,0,0.96,0.94,0,0,0,0,1,0,0
110,8.0,0,0,0,0,2,10,22,29,3,0,0,1.0,0.95,0,0,0,0,1,0,0
143,8.0,1,16,50,118,18,49,106,284,27,0,0,0.81,0.86,0,0,0,0,1,0,0
24,8.0,0,3456,3456,3456,10,39,68,93,7,0,0,1.0,0.95,1,0,0,1,1,0,1
36,8.0,0,0,0,0,0,3,4,6,2,0,0,-99.0,-99.0,0,0,0,0,1,0,0
163,8.0,0,129,298,380,56,118,202,310,0,0,0,0.99,0.98,0,0,0,0,1,0,0
-55,8.0,2,428,526,606,25,100,205,387,52,0,0,-99.0,-99.0,56,0,0,0,1,0,1
74,8.0,0,0,0,0,0,6,14,18,0,0,0,0.81,0.83,0,0,0,0,1,0,0
225,8.0,0,0,0,0,8,10,10,128,1,0,0,0.95,0.97,0,0,0,0,1,0,0
9,16.0,0,0,0,0,3,5,9,26,4,0,0,-99.0,-99.0,0,1,0,0,1,0,0
30,8.0,14,42,84,126,7,56,107,148,24,0,0,0.98,0.92,0,0,0,0,1,0,1
117,8.0,0,3200,5200,6800,0,0,0,0,0,0,0,0.97,0.98,0,0,0,0,1,0,0
14,8.0,0,0,0,0,3,5,7,11,3,0,0,0.76,0.89,0,0,0,0,1,0,0
39,16.0,0,0,0,0,0,0,0,0,1,0,0,-99.0,-99.0,0,0,0,0,1,0,0
3,8.0,0,0,0,0,0,0,0,0,0,0,0,0.87,0.84,0,0,0,0,1,0,0
21,2.0,0,50,90,130,26,62,112,152,20,0,0,0.97,0.99,0,0,0,0,1,0,0
2812,4.0,0,0,0,0,19,37,123,163,24,0,0,0.99,0.99,0,0,0,0,1,0,0
46,8.0,0,0,0,0,0,1,1,1,1,0,0,0.94,0.84,0,0,0,0,1,0,0
5,8.0,0,0,0,0,0,0,0,0,0,0,0,0.76,0.84,0,0,0,0,1,0,0
-499,12.0,350,3452,5044,7188,747,2550,3572,4745,401,0,0,0.49,0.72,525,0,0,0,1,0,1
103,9.0,0,0,0,0,0,0,19,19,0,0,0,0.85,0.83,0,1,0,0,1,0,0
562,4.0,0,0,0,0,62,135,276,438,66,0,0,0.08,0.19,0,0,0,0,1,0,0
3,40.0,0,0,6,24,2,18,24,27,2,0,0,0.98,0.98,0,1,0,0,1,0,0
1900,8.0,0,0,0,0,0,1,6,15,0,0,0,1.0,0.97,0,0,0,0,1,0,0
64,2.0,0,0,0,0,15,18,25,59,0,0,0,0.66,0.39,0,0,0,0,1,0,0
107,2.0,0,0,0,0,1,2,3,55,1,0,0,0.93,0.95,0,0,0,1,1,0,0
75,2.0,0,0,0,0,0,0,30,30,0,0,0,0.99,0.99,0,1,0,0,1,0,0
2858,2.0,0,0,0,0,7,17,32,44,0,0,0,1.0,0.99,0,0,0,0,1,0,0
38,8.0,0,0,0,0,1,2,2,2,1,0,0,0.4,0.4,0,0,0,1,1,0,0
1203,2.0,0,0,0,0,10,33,50,99,19,0,0,0.93,0.95,0,0,0,0,1,0,0
126,9.0,0,0,0,0,4,12,21,32,6,0,0,0.91,0.74,0,0,0,1,1,0,0
43,9.0,0,0,0,0,0,1,3,3,0,0,0,0.91,0.74,0,0,0,0,1,0,0
3,2.0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.99,0,0,0,0,1,0,0
4,4.0,0,2,2,2,0,1,1,1,0,0,0,0.77,0.8,0,1,0,0,1,0,0
24,2.0,0,0,0,0,0,2,3,7,1,0,0,0.81,0.43,0,1,0,0,1,0,0
10,2.0,4,48,84,144,14,50,115,158,26,0,0,0.85,0.83,0,0,0,0,1,0,0
10,9.0,0,0,0,0,0,0,0,0,0,0,0,0.91,0.74,0,1,0,0,1,0,0
261,12.0,0,0,0,0,0,0,0,0,0,0,0,0.96,0.86,0,0,0,0,1,0,0
3,8.0,0,0,0,0,1,1,1,2,0,0,0,0.8,0.81,0,0,0,0,1,0,0
8,9.0,0,0,0,1,0,3,8,10,0,0,0,0.91,0.74,0,0,0,0,1,0,0
17,8.0,0,30,30,30,0,0,0,0,0,0,0,1.0,0.99,0,0,0,0,1,0,0
20,4.0,6,0,0,0,0,0,0,0,0,0,0,0.22,0.11,0,1,0,0,1,0,0
490,12.0,0,0,0,0,0,5,10,10,0,0,0,0.96,0.86,0,0,0,0,1,0,0
132,2.0,68,102,228,364,19,81,174,251,41,0,0,0.89,0.92,0,0,0,0,1,0,0
39,2.0,0,0,0,12,4,11,15,55,3,0,0,0.98,0.99,0,1,0,0,1,0,0
26,10.0,0,0,0,0,0,3,5,5,0,0,0,0.85,0.88,0,1,0,0,1,0,0
10,12.0,0,7,9,14,2,6,10,14,0,0,0,0.82,0.79,0,0,0,0,1,0,0
5000,2.0,0,0,0,0,0,0,0,0,0,0,0,0.64,0.8,0,0,0,0,1,0,0
4095,52.0,0,0,0,0,29,105,137,193,0,0,0,0.96,0.86,0,1,0,0,0,0,0
12,2.0,0,18,18,18,0,0,0,0,0,0,0,0.75,0.9,0,1,0,0,1,0,0
11,9.0,0,0,0,0,0,0,0,0,0,0,0,0.91,0.74,0,1,0,0,1,0,0
83,52.0,0,0,0,0,0,7,13,16,1,0,0,0.98,0.93,0,1,0,0,1,0,0
4935,12.0,0,0,0,0,1,11,11,12,0,0,0,0.96,0.86,0,0,0,0,1,0,0
31,2.0,0,0,0,0,5,15,20,26,0,0,0,0.63,0.69,0,1,0,0,1,0,0
369,8.0,12,0,0,0,43,133,256,397,44,0,0,0.95,0.99,0,1,0,0,1,0,0
223,12.0,0,0,0,0,3,11,26,37,1,0,0,0.76,0.63,0,0,0,0,1,0,0
166,16.0,0,0,0,0,0,0,0,0,1,0,0,-99.0,-99.0,0,1,0,0,1,0,0
66,52.0,0,0,0,0,2,8,12,16,0,0,0,0.99,0.9,0,1,0,0,1,0,0
55,8.0,0,39,81,123,11,39,80,144,31,0,0,0.99,0.99,0,0,0,0,1,0,0
0,8.0,0,0,0,0,0,0,0,0,0,0,0,0.97,0.98,0,0,0,0,1,0,0
9,8.0,0,0,0,0,0,0,0,0,0,0,0,0.96,0.98,0,1,0,0,1,0,0
3,8.0,0,0,1,2,0,0,4,5,0,0,0,0.88,0.94,0,0,0,0,1,0,0
79,8.0,0,60,120,180,18,60,131,194,28,0,0,1.0,0.98,0,0,0,1,1,0,0
72,12.0,37,0,0,0,12,32,59,77,2,0,0,0.98,0.95,0,0,0,0,1,0,0
3,12.0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.79,0,1,0,0,1,0,0
280,8.0,66,496,816,1072,145,396,865,1462,173,0,0,0.99,0.99,0,0,0,1,1,0,0
83,8.0,0,0,0,0,11,28,44,71,20,0,0,1.0,0.99,0,0,0,0,1,0,0
12,16.0,0,0,0,0,0,0,1,4,2,0,0,0.44,0.46,0,0,0,0,1,0,0
134,8.0,11,30,120,180,26,69,154,259,57,0,0,1.0,0.99,0,0,0,0,1,0,0
9,8.0,0,0,4,8,2,3,13,17,2,0,0,0.91,0.91,0,0,0,0,1,0,0
38,8.0,15,65,109,153,16,55,94,143,27,0,0,0.97,0.96,0,0,0,0,1,0,0
34,8.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.99,0,0,0,0,1,0,0
24,8.0,0,0,0,0,3,8,19,40,0,0,0,0.97,0.94,0,0,0,0,1,0,0
37,10.0,0,0,0,0,0,0,0,0,2,0,0,0.89,0.9,0,0,0,0,1,0,0
81,8.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,1,0,0
8,12.0,0,0,0,1,0,1,2,5,0,0,0,0.82,0.79,0,0,0,0,1,0,0
51,2.0,0,34,68,136,4,4,74,123,0,0,0,1.0,1.0,0,0,0,0,1,0,0
32,8.0,0,78,78,78,13,19,27,58,3,0,0,0.92,0.95,0,0,0,0,1,0,0
19,10.0,0,0,0,0,0,0,0,0,0,0,0,0.89,0.9,0,0,0,0,1,0,0
10,52.0,0,0,0,0,0,3,5,8,0,0,0,0.69,0.68,0,1,0,0,1,0,0
9081,8.0,1420,20000,30000,38000,4372,12921,24517,40240,5006,0,0,0.99,0.97,0,0,0,0,1,0,0
177,8.0,24,473,946,1333,198,506,979,1501,169,0,0,0.6,0.57,1,0,0,1,1,0,0
1,52.0,0,0,0,0,0,0,1,3,1,0,0,-99.0,1.0,0,1,0,0,1,0,0
14,9.0,0,0,0,0,4,7,16,27,0,0,0,0.5,0.39,0,1,0,0,1,0,0
46,8.0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.99,0,0,0,0,1,0,0
16,12.0,9,41,69,97,5,38,68,86,20,0,0,0.87,0.68,0,0,0,0,1,0,0
1288,8.0,0,0,360,720,144,514,957,1385,143,0,0,0.94,0.95,0,0,0,0,1,0,0
34,16.0,0,0,0,0,0,0,1,1,0,0,0,-99.0,-99.0,0,1,0,1,1,0,0
140,17.0,0,40,80,160,19,68,155,265,32,0,0,1.0,1.0,0,0,0,0,1,0,0
86,17.0,3,40,40,120,21,50,113,173,26,0,0,1.0,1.0,0,0,0,0,1,0,0
0,8.0,0,0,0,0,0,0,0,0,0,0,0,0.89,0.9,0,0,0,0,1,0,0
11,12.0,0,0,0,0,0,0,4,5,0,0,0,0.98,0.96,0,0,0,0,1,0,0
12,2.0,0,12,24,36,2,9,22,30,2,0,0,1.0,0.98,0,0,0,0,1,0,0
11,8.0,0,0,0,0,0,0,0,0,1,0,0,0.78,0.92,0,1,0,0,1,0,0
3,12.0,0,0,0,0,0,0,0,0,0,0,0,0.62,0.73,0,0,0,0,1,0,0
1,8.0,0,4,7,10,1,4,5,11,0,0,0,1.0,0.75,0,0,0,0,1,0,0
16,8.0,0,0,0,3,5,8,13,45,0,0,0,0.99,0.98,0,0,0,0,1,0,0
5,8.0,0,0,0,5,0,2,4,5,3,0,0,0.9,0.88,0,0,0,0,1,0,0
42,8.0,6,11,36,67,8,21,61,83,14,0,0,0.92,0.76,0,0,0,0,1,0,0
14,16.0,0,0,0,0,0,0,0,0,2,0,0,-99.0,-99.0,0,1,0,0,1,0,0
2,8.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.79,0,0,0,1,1,0,0
12,8.0,0,0,0,6,0,4,5,13,4,0,0,0.74,0.76,0,0,0,0,1,0,0
353,12.0,0,0,0,0,0,1,1,1,2,0,0,0.62,0.73,0,0,0,0,1,0,0
0,12.0,0,0,0,0,0,0,0,0,0,0,0,0.93,0.88,0,0,0,0,1,0,0
17,12.0,0,0,0,0,1,2,5,6,3,0,0,0.82,0.79,0,0,0,0,1,0,0
8,12.0,0,0,0,0,1,1,2,4,1,0,0,0.98,0.96,0,1,0,1,1,0,0
5380,2.0,0,0,0,0,60,115,136,163,11,0,0,1.0,1.0,0,0,0,0,1,0,0
4,6.0,0,0,0,0,0,3,7,9,0,0,0,0.82,0.79,0,0,0,0,1,0,0
